"File","Group","ObjType","SourceTable","DocKey","ObjectId","SampleSource","Status","Error","Pages","Records","Ms","OrigServer","OrigDb","OrigDbFlag","Subreports","Tables","ParamsSet","Pdf"
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3026","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).pdf"
"2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3097","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Dis).pdf"
"2.Incoming Payments_ ENG ใบเสร็จรับเงินใบกำกับภาษี.rpt","Form","24","ORCT","-1","24","none","NO-SAMPLE","smoke run OK (key -1); ORCT empty, no draft","1","0","2471","192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","2.Incoming Payments_ ENG ใบเสร็จรับเงินใบกำกับภาษี.pdf"
"2.Incoming Payments_ใบเสร็จรับเงินใบกำกับภาษี.rpt","Form","24","ORCT","-1","24","none","NO-SAMPLE","smoke run OK (key -1); ORCT empty, no draft","1","0","2514","192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","2.Incoming Payments_ใบเสร็จรับเงินใบกำกับภาษี.pdf"
"2.Inventory Counting_ใบหลังตรวจนับสินค้า_After.rpt","Form","1470000065","OINC","-1","1470000065","none","NO-SAMPLE","smoke run OK (key -1); OINC empty, no draft","1","0","2471","192.168.0.216","SBO_SDA_REAL","","0","2","DocKey@","2.Inventory Counting_ใบหลังตรวจนับสินค้า_After.pdf"
"2.Sale Order_ใบสั่งขาย_(Bom).rpt","Form","17","ORDR","7","17","real","OK","","1","1","6316","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.Sale Order_ใบสั่งขาย_(Bom).pdf"
"2.Sale Quotation_ใบเสนอราคาขาย_(Dis) ENG.rpt","Form","23","OQUT","16","23","real","OK","","1","2","4431","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.Sale Quotation_ใบเสนอราคาขาย_(Dis) ENG.pdf"
"2.Sale Quotation_ใบเสนอราคาขาย_(Dis).rpt","Form","23","OQUT","16","23","real","OK","","1","2","4265","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.Sale Quotation_ใบเสนอราคาขาย_(Dis).pdf"
"3.AR Down Payment Invoice_BOM ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","4798","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down Payment Invoice_BOM ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
"3.AR Down Payment Invoice_Dis ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","4514","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","3.AR Down Payment Invoice_Dis ใบแจ้งหนี้เงินค่ามัดจำใบกำกับภาษี.pdf"
