"File","Group","ObjType","Table","DocKey","ObjectId","Source","Note"
"4.AR Invoice_ใบแจ้งหนี้ใบแจ้งหนี้ใบกำกับภาษี_(Dis).rpt","Form","13","OINV","-1","13","none","OINV empty, no draft"
"Attachment of P.N.D.3 v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","latest JE on WHT account (OVPM/OPCH/PCH5/VPM6 are empty)"
"Attachment of P.N.D.53 v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","latest JE on WHT account (OVPM/OPCH/PCH5/VPM6 are empty)"
"Attachment of PP30 v28.rpt","Tax","SubmitDate","@SLDT_TS_TST","202608","","none","@SLDT_TS_TST empty -- smoke with last month"
"Tax Report v25.rpt","Tax","TaxType+DocNum","@SLDT_RT_TST","''","","none","@SLDT_RT_TST empty -- smoke with empty IN list"
"Value Added Tax Return under the Revenue Code (P.P.30) v28.rpt","Tax","SubmitDate","@SLDT_TS_TST","202608","","none","@SLDT_TS_TST empty -- smoke with last month"
"Withholding Income Tax Return (P.N.D.3)v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","latest JE on WHT account (OVPM/OPCH/PCH5/VPM6 are empty)"
"Withholding Tax certificate (03) v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","latest JE on WHT account (OVPM/OPCH/PCH5/VPM6 are empty)"
"Withholding Tax certificate (53) v28.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","latest JE on WHT account (OVPM/OPCH/PCH5/VPM6 are empty)"
"Withholding Tax certificate (53) v28_A0070001.rpt","Tax","TransId","JDT1+@SLDT_SET_ACCWH","4","","wht-acct","latest JE on WHT account (OVPM/OPCH/PCH5/VPM6 are empty)"
