"File","Group","ObjType","SourceTable","DocKey","ObjectId","SampleSource","Status","Error","Pages","Records","Ms","OrigServer","OrigDb","OrigDbFlag","Subreports","Tables","ParamsSet","Pdf"
"1.Incoming Payments_Eng ใบเสร็จรับเงิน.rpt","Form","24","ORCT","-1","24","none","NO-SAMPLE","smoke run OK (key -1); ORCT empty, no draft","1","0","3072","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","1.Incoming Payments_Eng ใบเสร็จรับเงิน.pdf"
"1.Incoming Payments_ใบเสร็จรับเงิน.rpt","Form","24","ORCT","-1","24","none","NO-SAMPLE","smoke run OK (key -1); ORCT empty, no draft","1","0","3278","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","1.Incoming Payments_ใบเสร็จรับเงิน.pdf"
"1.Inventory Counting_ใบตรวจนับสินค้า_Befor.rpt","Form","1470000065","OINC","-1","1470000065","none","NO-SAMPLE","smoke run OK (key -1); OINC empty, no draft","1","0","3245","192.168.0.216","SBO_SDA_REAL","","0","2","DocKey@","1.Inventory Counting_ใบตรวจนับสินค้า_Befor.pdf"
"1.Inventory Transfer Request_ใบขอโอนสินค้า.rpt","Form","1250000001","OWTQ","-1","1250000001","none","NO-SAMPLE","smoke run OK (key -1); OWTQ empty, no draft","1","0","3575","192.168.0.216","SBO_SDA_REAL","","0","5","dockey@,ObjectId@","1.Inventory Transfer Request_ใบขอโอนสินค้า.pdf"
"1.Inventory Transfer_ใบโอนสินค้า.rpt","Form","67","OWTR","-1","67","none","NEEDS-PARAM","no value for: lineNum@","0","-1","2653","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","2","6","dockey@,HRemark/DocKey@,TEXT/DocKey@",""
"1.Inventory Transfer_ใบโอนสินค้า_TH_(Batch_Serial).rpt","Form","67","OWTR","-1","67","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2983","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","dockey@,ObjectId@,Batch/DocKey@",""
"1.Issue for Production_ใบเบิกวัตถุดิบเพื่อการผลิต_(Batch_Serial).rpt","Form","60","OIGE","-1","60","none","RENDER-FAIL","Exception calling ""ExportToDisk"" with ""2"" argument(s): ""Error in File 1.Issue for Production_ใบเบิกวัตถุดิบเพื่อการผลิต_(Batch_Serial) 11804_14896_{4D585EFA-8C76-4CC8-B7B3-6C6DE960C52A}.rpt: Error in formula Object_Visibility: 'isnull({Approve.ApproverPicture})' This field name is not known. Details: errorKind"" | Error in File 1.Issue for Production_ใบเบิกวัตถุดิบเพื่อการผลิต_(Batch_Serial) 11804_14896_{4D585EFA-8C76-4CC8-B7B3-6C6DE960C52A}.rpt: Error in formula Object_Visibility: 'isnull({Approve.ApproverPicture})' This field name is not known. Details: errorKind | Error in File 1.Issue for Production_ใบเบิกวัตถุดิบเพื่อการผลิต_(Batch_Serial) 11804_14896_{4D585EFA-8C76-4CC8-B7B3-6C6DE960C52A}.rpt: Error in formula Object_Visibility: 'isnull({Approve.ApproverPicture})' This field name is not known. Details: errorKind","0","-1","2674","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","DocKey@,ObjectId@",""
"1.Journal Entry_ใบบันทึกรายการบัญชี.rpt","Form","30","OJDT","4","30","real","OK","","5","170","3767","192.168.0.216","SBO_SDA_REAL","","0","3","DocKey@","1.Journal Entry_ใบบันทึกรายการบัญชี.pdf"
"1.Landed Costs_ใบปรับราคาต้นทุนสินค้า.rpt","Form","69","OIPF","-1","69","none","NO-SAMPLE","smoke run OK (key -1); OIPF empty, no draft","1","0","3451","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@","1.Landed Costs_ใบปรับราคาต้นทุนสินค้า.pdf"
"1.Outgoing Payments_ENG ใบจ่ายชำระ.rpt","Form","46","OVPM","-1","46","none","NEEDS-PARAM","no value for: Docnum, docnum","0","-1","2751","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","6","10","DocKey@",""
"1.Outgoing Payments_ใบจ่ายชำระ.rpt","Form","46","OVPM","-1","46","none","NEEDS-PARAM","no value for: Docnum, docnum","0","-1","2676","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","6","10","DocKey@",""
"1.Production Order_ใบสั่งผลิต.rpt","Form","202","OWOR","-1","202","none","NO-SAMPLE","smoke run OK (key -1); OWOR empty, no draft","1","0","3259","192.168.0.216","SBO_SDA_REAL","","0","3","DocKey@","1.Production Order_ใบสั่งผลิต.pdf"
"1.Purchase Order_ENG_ใบสั่งซื้อ.rpt","Form","22","OPOR","2","112","draft","OK","","1","1","8095","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Purchase Order_ENG_ใบสั่งซื้อ.pdf"
"1.Purchase Order_TH_ใบสั่งซื้อ.rpt","Form","22","OPOR","2","112","draft","OK","","1","1","4015","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Purchase Order_TH_ใบสั่งซื้อ.pdf"
"1.Purchase Quotation_ใบเสนอราคาซื้อ.rpt","Form","540000006","OPQT","-1","540000006","none","NO-SAMPLE","smoke run OK (key -1); OPQT empty, no draft","1","0","3877","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Purchase Quotation_ใบเสนอราคาซื้อ.pdf"
"1.Purchase Request_TH_ใบขอซื้อ.rpt","Form","1470000113","OPRQ","2","1470000113","real","OK","","1","2","3994","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Purchase Request_TH_ใบขอซื้อ.pdf"
"1.Receipt from Production_ใบรับสินค้าจากการผลิต_(Batch_Serial).rpt","Form","59","OIGN","-1","59","none","NO-SAMPLE","smoke run OK (key -1); OIGN empty, no draft","1","0","2775","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","5","DocKey@,ObjectId@","1.Receipt from Production_ใบรับสินค้าจากการผลิต_(Batch_Serial).pdf"
"1.Retrun_ใบรับคืนสินค้า_(Batch_Serial).rpt","Form","16","ORDN","-1","16","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2402","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@,ObjectId@,Batch/Serial/DocKey@",""
"1.Retrun_ใบรับคืนสินค้า_ENG (Batch_Serial).rpt","Form","16","ORDN","-1","16","none","NEEDS-PARAM","no value for: ItemCode@","0","-1","2870","10.0.70.61|192.168.0.216","SBO_SDA_REAL","","1","4","DocKey@,ObjectId@,Batch/Serial/DocKey@",""
"1.Sale Order_ใบสั่งขาย_(Dis).rpt","Form","17","ORDR","7","17","real","OK","","1","1","3320","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Sale Order_ใบสั่งขาย_(Dis).pdf"
"1.Sale Quotation_ใบเสนอราคาขาย_(BOM) ENG.rpt","Form","23","OQUT","16","23","real","OK","","1","2","8834","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Sale Quotation_ใบเสนอราคาขาย_(BOM) ENG.pdf"
"1.Sale Quotation_ใบเสนอราคาขาย_(Bom).rpt","Form","23","OQUT","16","23","real","OK","","1","2","3900","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","1.Sale Quotation_ใบเสนอราคาขาย_(Bom).pdf"
"2.AP Down Payment Invoice_ENG ใบจ่ายเงินมัดจำใบกำกับภาษี.rpt","Form","204","ODPO","-1","204","none","NO-SAMPLE","smoke run OK (key -1); ODPO empty, no draft","1","0","3283","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AP Down Payment Invoice_ENG ใบจ่ายเงินมัดจำใบกำกับภาษี.pdf"
"2.AP Down Payment Invoice_ใบจ่ายเงินมัดจำใบกำกับภาษี.rpt","Form","204","ODPO","-1","204","none","NO-SAMPLE","smoke run OK (key -1); ODPO empty, no draft","1","0","3270","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AP Down Payment Invoice_ใบจ่ายเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_BOM ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3691","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_BOM ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_BOM_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","4038","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_BOM_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_Dis ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3278","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_Dis ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.AR Down PaymentTax Invoice_Dis_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.rpt","Form","203","ODPI","-1","203","none","NO-SAMPLE","smoke run OK (key -1); ODPI empty, no draft","1","0","3229","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.AR Down PaymentTax Invoice_Dis_ENG ใบเสร็จรับเงินมัดจำใบกำกับภาษี.pdf"
"2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).rpt","Form","13","OINV","-1","13","none","NO-SAMPLE","smoke run OK (key -1); OINV empty, no draft","1","0","3306","192.168.0.216","SBO_SDA_REAL","","0","4","DocKey@,ObjectId@","2.BillingAR InvoiceTax Invoice_ENG ใบวางบิลใบแจ้งหนี้ใบกำกับภาษี (Bom).pdf"
